"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q8","Q9_First.Click","Q9_Last.Click","Q9_Page.Submit","Q9_Click.Count","Q13","Q10_First.Click","Q10_Last.Click","Q10_Page.Submit","Q10_Click.Count","Q11_First.Click","Q11_Last.Click","Q11_Page.Submit","Q11_Click.Count","Q12_First.Click","Q12_Last.Click","Q12_Page.Submit","Q12_Click.Count","id","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q2_11","Q2_12","Q2_13","Q2_14","Q2_15","Q2_16","Q2_17","Q2_18","Q2_19","Q2_20","Q2_21","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q5_8","Q5_9","Q5_10","Q5_11","Q5_12","Q5_13","Q5_14","Q5_15","Q5_16","Q5_17","Q5_18","Q5_19","Q5_20","totalbad"
"55","2/21/18 14:38","2/21/18 15:44",0,"146.7.4.87",100,3942,1,"2/21/18 15:44","R_zVJ5qbv5Np6feYp",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3575.68,3575.68,3595.412,1,"",7.989,107.759,109.52,23,6.509,103.04,106.366,23,6.212,124.054,126.86,22,55204,2,3,4,3,3,3,3,5,5,2,4,4,2,3,4,3,4,3,3,4,1,4,3,3,3,3,3,2,2,3,3,3,2,4,4,4,2,2,1,4,4,4,4,3,3,2,3,3,2,4,4,3,4,2,2,4,3,3,4,3,4,4
"56","2/21/18 15:43","2/21/18 15:46",0,"146.7.4.88",100,228,1,"2/21/18 15:46","R_2qfqUPYpzZVe46c",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,30.982,30.982,34.084,1,"",1.431,20.704,22.061,23,36.099,55.182,58.129,21,34.888,104.237,107.053,20,55281,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,4
"57","2/21/18 16:09","2/21/18 16:15",0,"146.7.4.88",100,369,1,"2/21/18 16:15","R_1mh0hPKH2V7mvW6",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,30.375,30.375,35.352,1,"",13.119,98.127,101.033,24,10.403,133.546,137.596,28,10.472,88.99,91.787,21,54353,1,3,3,3,4,2,5,5,5,1,1,1,1,1,1,1,1,1,5,3,1,4,4,5,1,2,4,1,1,1,1,1,5,1,3,4,1,3,1,3,4,2,3,3,4,3,3,1,1,4,1,5,1,1,3,4,3,3,1,1,3,4
"58","2/21/18 18:18","2/21/18 18:24",0,"146.7.4.84",100,341,1,"2/21/18 18:24","R_3OfBqahXqNrmBsB",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.544,4.544,31.219,1,"",5.454,110.421,113.115,24,2.662,103.077,110.087,22,6.229,81.518,83.598,23,55196,3,5,5,5,5,4,4,4,5,4,5,5,3,3,5,5,3,5,5,4,1,4,3,4,3,3,4,3,3,3,3,4,2,4,4,5,3,4,3,5,4,4,4,3,2,4,3,3,3,4,3,5,4,5,4,4,3,4,3,4,3,3
"59","2/21/18 18:47","2/21/18 18:52",0,"146.7.4.91",100,342,1,"2/21/18 18:52","R_1pljt8WWzQb08nO",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,26.906,26.906,32.591,1,"",5.634,96.943,99.46,21,7.297,96.613,98.604,20,9.767,105.366,108.242,20,55363,2,3,5,5,5,4,5,5,5,3,5,5,1,3,5,5,5,5,3,5,1,4,3,5,4,4,3,2,1,4,3,1,4,3,5,5,3,5,1,5,4,5,5,5,5,5,4,5,5,5,5,1,1,4,5,3,3,5,5,5,5,4
"60","2/21/18 19:59","2/21/18 20:04",0,"146.7.4.92",100,297,1,"2/21/18 20:04","R_2wix0Wznlh4lI4t",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.099,9.063,22.064,3,"",6.877,31.597,32.8,26,29.19,88.176,90.161,22,38.439,145.599,148.232,21,54791,4,4,1,3,2,5,3,3,3,3,3,3,3,4,3,3,4,3,3,3,1,3,4,4,3,3,3,3,2,3,2,3,3,4,3,4,1,1,3,5,4,5,5,5,5,4,3,3,3,4,3,5,3,3,2,2,3,4,5,5,2,5
"61","2/21/18 20:55","2/21/18 21:10",0,"146.7.4.83",100,856,1,"2/21/18 21:10","R_RxkN089CegyWe5z",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,64.261,70.523,71.208,2,"",34.073,164.957,166.591,22,28.911,137.726,139.729,22,9.742,439.73,443.285,23,55227,3,4,4,4,4,3,4,5,4,2,4,3,1,4,5,5,3,4,3,3,1,4,4,4,3,4,4,2,3,4,4,1,4,4,5,5,3,3,1,4,4,4,5,3,4,2,3,4,4,5,4,4,1,5,2,4,3,4,3,4,2,3
"62","2/21/18 22:32","2/21/18 22:37",0,"146.7.4.82",100,344,1,"2/21/18 22:37","R_3MbqtPr0B3gMFiO",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,56.193,56.193,60.174,1,"",7.686,72.068,73.662,21,91.239,125.733,128.641,20,7.478,70.019,72.022,20,55362,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3
"64","2/22/18 12:51","2/22/18 12:55",0,"146.7.4.87",100,249,1,"2/22/18 12:55","R_u3q7axJ117Ul72h",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,20.969,20.969,23.074,1,"",18.405,87.56,89.822,23,7.141,68.53,70.396,27,6.642,60.73,62.279,23,55295,4,3,4,3,5,3,4,4,4,2,1,3,3,3,4,3,4,5,5,5,1,4,4,4,3,3,4,1,1,3,1,1,4,3,3,4,3,3,1,3,4,3,3,1,4,3,4,3,1,4,3,5,3,3,5,4,3,4,5,3,1,5
"65","2/22/18 14:43","2/22/18 14:52",0,"146.7.4.87",100,497,1,"2/22/18 14:52","R_1DBDSllmEoFpy5s",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,5.36,5.36,9.105,1,"",11.93,174.892,177.19,25,6.029,139.265,145.813,20,7.776,155.827,159.885,22,54793,5,2,2,3,5,3,3,5,5,1,4,3,1,3,2,2,3,2,4,4,1,3,4,5,4,3,5,2,1,3,3,3,5,5,5,5,4,1,1,3,4,3,2,2,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,2,1,5
"66","2/20/18 12:44","2/22/18 20:57",0,"146.7.4.85",100,202358,1,"2/22/18 20:57","R_3sAq27rkUEJAwtq",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.104,3.104,9.062,1,"",31.358,151.203,153.785,24,4.138,205.737,209.157,22,31.564,373.589,377.764,28,55309,4,4,4,4,5,3,5,4,4,1,5,5,1,4,3,4,5,5,4,4,1,4,4,5,3,3,4,3,5,4,3,1,3,4,4,3,3,5,1,5,4,5,5,5,5,5,4,4,4,3,5,4,1,3,4,3,3,5,3,5,3,5
"67","2/23/18 13:02","2/23/18 13:06",0,"146.7.4.88",100,218,1,"2/23/18 13:06","R_1GwYgJRslFtsQMX",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.266,3.266,7.057,1,"",8.147,25.29,39.144,21,8.344,68.8,70.454,22,6.446,94.302,96.747,21,54776,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,2,5,4,4,4,4,4,4,4,4,3,2,4,4,5,5,4,3,4,3,3,5,5,4,4,2,4,4,5,3,4,3,5,2,5
"68","2/23/18 15:58","2/23/18 15:59",0,"173.25.0.113",100,88,1,"2/23/18 15:59","R_1eFU9mIziJ0DNa8",NA,NA,NA,NA,37.17019653,-93.32969666,"anonymous","EN",1,2.603,2.603,15.318,1,"",3.113,19.096,20.856,22,4.754,24.325,26.342,21,2.99,21.523,21.95,22,55677,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
"70","2/23/18 16:59","2/23/18 17:04",0,"75.98.101.44",100,316,1,"2/23/18 17:04","R_3EKZqc4dzLnHTn6",NA,NA,NA,NA,37.14889526,-93.26139832,"anonymous","EN",1,2.327,12.734,20.181,8,"",65.368,92.066,139.909,28,58,71.916,73.796,20,20.864,75.151,78.338,22,54741,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
"71","2/23/18 18:25","2/23/18 18:29",0,"172.58.142.196",100,276,1,"2/23/18 18:29","R_3gXTU678n2dpPTS",NA,NA,NA,NA,41.72569275,-87.83209991,"anonymous","EN",1,12.114,12.114,16.338,1,"",4.2,68.807,69.922,22,6.322,83.358,84.527,21,18.274,99.938,100.742,27,54723,3,3,2,4,5,3,4,5,5,3,3,3,3,2,4,4,3,3,3,4,1,4,3,2,4,1,4,1,1,2,1,2,2,4,3,4,1,4,3,3,4,3,3,4,4,2,2,3,2,2,3,3,1,1,2,4,3,4,4,3,3,5
"73","2/24/18 14:22","2/24/18 14:27",0,"146.7.4.84",100,333,1,"2/24/18 14:27","R_1C9MJrdJHORYOhY",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,58.48,58.48,61.216,1,"",9.252,83.928,85.507,21,8.728,88.72,90.342,20,8.771,90.77,91.998,20,55843,5,5,5,4,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,4,1,5,5,5,4,5,5,2,3,3,5,1,5,3,5,5,3,3,1,4,4,4,3,4,5,4,3,3,5,5,3,3,2,5,3,5,3,5,5,4,5,5
"74","2/24/18 18:58","2/24/18 19:04",0,"146.7.4.82",100,379,1,"2/24/18 19:04","R_3NCDLFxA7BbwPqd",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,2.896,2.896,5.76,1,"",15.102,176.698,179.262,29,7.323,75.72,77.671,30,10.92,111.755,112.818,25,55275,4,2,4,4,4,4,5,5,5,3,4,2,1,3,4,3,4,4,5,5,1,2,4,3,3,2,4,1,4,1,3,2,5,4,4,4,1,3,1,3,4,4,4,2,4,2,2,3,2,4,4,4,2,2,2,4,3,4,4,2,3,5
"75","2/25/18 1:39","2/25/18 1:47",0,"146.7.4.83",100,432,1,"2/25/18 1:47","R_1KcI7v2E8NQ9t97",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,7.055,17.439,20.752,3,"",5.439,150.235,152.815,24,5.203,94.998,97.433,22,15.536,155.676,157.935,23,55322,2,3,3,5,3,3,5,4,2,3,2,5,1,1,3,4,4,5,3,4,1,3,4,2,4,3,4,1,3,4,3,2,5,3,5,4,1,4,2,5,4,3,5,5,3,2,1,4,3,4,4,1,1,4,3,4,3,3,4,5,3,4
"77","2/25/18 16:24","2/25/18 16:28",0,"146.7.4.83",100,279,1,"2/25/18 16:28","R_2wGHpbRjrZSwvbW",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,23.521,35.276,37.056,10,"",6.198,97.203,98.618,27,5.529,72.373,73.452,24,3.577,64.325,66.386,22,55743,3,3,5,4,4,3,3,3,3,3,3,4,1,3,3,4,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"78","2/25/18 19:59","2/25/18 20:04",0,"12.50.138.154",100,337,1,"2/25/18 20:04","R_1hX1Fopqj8omc7U",NA,NA,NA,NA,37.20610046,-93.30319977,"anonymous","EN",1,3.317,6.279,6.985,3,"",3.993,87.06,88.591,23,14.824,116.26,117.022,24,6.419,117.697,118.57,24,55387,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,2,4,2,2,4,4,4,4,2,2,4,2,1,1,4,4,4,4,1,2,1,2,2,2,4,4,5,1,2,4,4,3,4,4,4,1,1
"80","2/25/18 22:35","2/25/18 22:44",0,"146.7.4.88",100,524,1,"2/25/18 22:44","R_10xyFdGKIYgDlS3",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,270.397,272.113,296.76,2,"",30.805,76.234,77.987,25,5.824,101.539,108.532,25,8.76,35.853,36.835,23,54794,3,3,4,3,5,3,4,3,3,3,2,3,4,4,4,4,4,5,2,3,1,5,5,4,5,3,3,3,1,4,2,2,3,3,4,4,3,3,2,5,3,3,4,4,4,3,3,4,4,3,4,3,4,4,4,3,4,4,4,3,4,5
"81","2/26/18 10:38","2/26/18 10:44",0,"146.7.4.74",100,358,1,"2/26/18 10:44","R_3Ra15TSS5DXQ1cS",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,1.476,10.953,12.599,8,"",5.653,96.605,97.064,57,4.664,118.356,118.873,59,6.704,125.682,126.7,58,54768,2,4,5,5,4,3,4,5,5,3,3,3,3,4,5,5,3,2,3,4,1,4,3,3,4,5,5,1,3,3,3,1,5,4,5,4,2,3,3,3,4,2,2,3,4,2,4,3,3,4,3,3,1,3,2,5,3,3,3,5,3,4
"82","2/26/18 13:13","2/26/18 13:22",0,"146.7.4.92",100,553,1,"2/26/18 13:22","R_1n6etIo3D2I1ZpG",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,1.55,27.847,30.893,2,"",4.636,133.56,135.408,24,6.568,222.497,224.594,26,10.434,156.276,159.061,25,54483,5,4,4,5,5,4,5,5,4,4,4,4,1,4,5,5,4,4,4,4,1,5,5,5,4,4,5,4,3,5,4,1,4,4,3,5,3,4,1,4,4,4,4,2,4,4,1,2,3,4,4,2,1,4,3,4,3,4,2,4,3,3
"83","2/26/18 13:31","2/26/18 13:38",0,"146.7.4.85",100,440,1,"2/26/18 13:38","R_2VlGidfbVCp04yx",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.719,5.401,8.623,2,"",3.175,133.947,135.938,28,12.602,161.834,164.84,30,8.601,124.289,126.609,24,55217,3,4,4,4,5,4,4,4,4,3,4,5,1,3,5,3,5,4,5,4,1,5,5,5,3,4,5,1,1,4,4,1,3,5,5,5,3,5,1,5,4,5,5,5,5,4,5,5,3,4,5,3,1,4,3,3,3,3,5,5,5,4
"84","2/26/18 13:22","2/26/18 13:49",0,"146.7.4.88",100,1609,1,"2/26/18 13:49","R_3I3lezPpnYTfl5u",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,11.68,22.268,26.038,2,"",553.069,858.492,862.053,22,311.84,507.816,509.108,23,7.431,189.587,190.64,24,55250,4,4,4,4,5,3,5,4,4,2,2,4,2,3,4,4,3,2,5,4,1,3,4,4,4,3,4,2,3,4,3,2,5,4,4,4,3,2,1,4,4,4,3,2,4,2,4,3,3,4,4,4,1,4,3,4,3,3,3,4,2,3
"85","2/26/18 15:04","2/26/18 15:12",0,"146.7.4.83",100,492,1,"2/26/18 15:12","R_2cqIV0PAQOFFw8y",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.943,33.296,37.269,9,"",13.969,132.456,134.799,22,31.144,135.298,137.002,22,81.11,177.671,179.825,24,54818,2,1,3,2,5,1,5,3,4,1,5,5,3,2,3,2,5,5,5,4,1,3,4,4,3,4,5,1,1,3,3,3,5,5,5,5,1,4,3,5,4,5,5,2,4,3,4,3,4,4,4,4,2,2,4,4,3,3,4,3,3,4
"86","2/26/18 17:25","2/26/18 17:34",0,"146.7.4.86",100,538,1,"2/26/18 17:34","R_1HipIA4AKelNHHt",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,64.585,64.585,66.551,1,"",6.879,278.254,280.841,22,2.571,77.516,79.108,20,6.497,105.467,108.533,20,55401,4,5,4,5,5,5,5,5,5,4,5,4,2,4,5,5,4,2,5,5,1,5,2,5,4,5,4,1,5,5,4,1,5,4,4,4,2,1,2,4,4,5,4,3,5,2,3,5,4,5,3,4,1,5,4,4,3,5,5,5,3,5
"87","2/26/18 19:16","2/26/18 19:25",0,"146.7.4.91",100,512,1,"2/26/18 19:25","R_3kpNUK9hv2IOCgI",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,10.794,37.474,39.079,4,"",41.714,131.288,132.312,28,3.842,261.321,263.894,29,3.27,72.122,73.773,27,55364,3,4,4,4,5,4,5,4,4,2,4,4,2,3,3,4,4,3,5,4,1,4,4,4,3,2,4,2,1,2,4,1,5,4,4,4,3,3,1,5,4,3,4,3,4,4,3,3,4,4,4,5,1,3,3,3,3,4,4,4,3,3
"88","2/26/18 19:27","2/26/18 19:34",0,"173.20.163.114",100,411,1,"2/26/18 19:34","R_2QmuabLYVMRJ2MB",NA,NA,NA,NA,37.17019653,-93.32969666,"anonymous","EN",1,6.867,6.867,9.812,1,"",5.756,165.155,168.214,21,18.767,124.281,127.444,20,8.91,99.316,100.842,21,55799,2,1,4,4,5,4,4,4,4,1,1,3,1,2,4,4,1,1,4,5,1,5,4,4,2,2,4,1,1,2,2,2,4,4,4,4,2,2,1,3,4,3,3,4,2,5,4,2,2,2,3,1,1,2,1,2,3,1,1,3,5,4
"89","2/27/18 9:34","2/27/18 9:43",0,"146.7.136.41",100,518,1,"2/27/18 9:43","R_1OJKoEaiFTQBOVF",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,17.302,24.382,25.879,3,"",7.946,151.705,153.039,22,6.499,146.236,147.544,23,25.224,186.201,188.414,20,55221,4,3,5,4,4,5,4,4,5,3,5,5,1,3,4,4,5,5,5,4,1,4,3,4,3,5,5,1,5,5,3,1,1,5,3,5,3,3,1,5,4,5,5,3,5,4,4,3,3,5,5,5,1,5,4,5,3,5,5,5,2,5
"90","2/27/18 9:45","2/27/18 9:50",0,"146.7.4.90",100,317,1,"2/27/18 9:50","R_1OZcP5doWhCyL10",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,13.72,13.72,18.967,1,"",11.76,109.197,112.22,21,4.327,87.645,90.338,21,7.565,88.775,91.351,21,55814,4,4,4,4,4,4,4,4,4,3,4,4,1,3,4,4,5,4,4,4,1,4,4,4,4,3,4,2,3,4,4,3,2,3,4,4,3,3,2,4,4,4,4,3,4,3,4,3,4,4,3,4,2,4,4,4,3,4,3,4,4,1
"91","2/27/18 10:07","2/27/18 10:12",0,"146.7.4.90",100,309,1,"2/27/18 10:12","R_8q2iCnYAJ9QuIWR",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,1.097,15.567,16.894,7,"",4.612,82.278,84.706,68,1.518,115.833,116.937,90,1.986,84.948,86.181,69,54861,1,4,4,4,4,2,4,4,4,4,4,5,1,2,4,4,5,5,4,5,1,4,4,3,3,4,5,1,2,4,3,1,4,4,5,4,1,2,1,5,4,5,5,5,4,5,2,3,3,4,4,4,1,4,4,4,3,4,3,4,5,3
"93","2/27/18 10:08","2/27/18 10:15",0,"146.7.4.87",100,425,1,"2/27/18 10:15","R_3iR5Q5I6H22VnA0",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,176.433,176.433,179.221,1,"",4.483,71.457,72.78,22,7.701,77.585,78.643,21,4.024,85.895,87.743,20,55329,4,4,5,5,5,4,5,3,3,3,5,5,2,4,5,4,5,5,4,4,1,4,4,5,3,4,4,1,2,4,4,1,3,5,5,5,3,4,1,5,4,5,5,5,5,5,4,4,4,5,4,1,3,4,3,4,3,4,4,5,5,4
"95","2/27/18 10:22","2/27/18 10:27",0,"146.7.4.78",100,265,1,"2/27/18 10:27","R_2VfmgqtoBS3075k",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.426,3.426,8.879,1,"",4.458,80.06,81.886,21,5.526,91.288,93.626,23,4.105,76.401,77.435,20,55286,4,4,5,5,4,4,4,4,4,3,5,5,1,4,5,4,5,5,5,5,1,5,4,4,4,4,5,2,1,5,4,1,5,5,5,4,3,4,1,5,4,5,5,5,5,3,5,5,4,5,5,1,1,4,3,4,3,3,5,5,1,4
"97","2/27/18 10:55","2/27/18 11:07",0,"146.7.4.90",100,752,1,"2/27/18 11:07","R_1rpFOXbxs3nh6L7",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,71.548,80.654,93.919,3,"",235.079,344.608,346.969,22,3.733,131.209,135.18,21,7.197,170.042,172.655,29,55715,4,4,5,4,5,4,4,5,5,5,5,4,2,4,5,5,4,4,5,5,1,5,4,4,3,4,4,1,2,4,4,1,5,5,4,5,4,2,1,4,4,2,4,4,5,1,4,4,4,4,4,1,1,4,4,4,3,4,5,1,5,3
"99","2/27/18 11:13","2/27/18 11:20",0,"146.7.4.90",100,382,1,"2/27/18 11:20","R_12GBRDsVCAAN0Bh",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,5.587,5.587,12.497,1,"",10.721,103.376,105.163,22,10.469,123.104,125.12,22,11.891,133.439,135.347,22,54747,4,2,2,2,3,2,5,4,4,1,2,3,2,1,4,2,3,3,4,3,1,3,2,3,3,2,4,1,1,2,2,4,4,4,3,3,2,2,3,3,4,2,3,1,3,2,2,2,2,2,3,5,2,3,3,4,3,2,3,3,1,4
"100","2/27/18 11:24","2/27/18 11:30",0,"146.7.4.91",100,351,1,"2/27/18 11:30","R_3DqkydQB2GcN43i",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,4.622,4.622,6.675,1,"",4.035,93.761,94.658,24,12.457,136.118,137.454,26,5.555,106.452,108.845,27,55810,4,3,3,4,5,4,5,5,4,2,4,4,1,4,3,4,1,4,5,4,1,4,4,4,2,4,4,1,1,3,4,1,2,4,4,4,2,3,1,4,4,4,4,1,4,1,2,2,3,4,1,1,1,4,5,4,3,5,5,4,2,3
"101","2/27/18 11:32","2/27/18 11:39",0,"107.77.209.116",100,415,1,"2/27/18 11:39","R_1JVFoFAG1kdFBVh",NA,NA,NA,NA,41.8500061,-87.65000153,"anonymous","EN",1,12.324,44.429,58.976,8,"",9.127,106.63,109.02,21,9.255,137.386,138.937,28,8.884,99.741,101.55,22,54816,2,3,4,4,4,3,4,4,4,3,4,5,3,4,4,4,5,5,4,4,1,2,5,4,4,4,4,2,3,3,3,1,5,2,5,5,3,3,4,5,4,5,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,4,5,3
"102","2/27/18 11:42","2/27/18 11:49",0,"146.7.4.90",100,395,1,"2/27/18 11:49","R_41viNEfMcCHRHa1",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,32.263,34.827,39.112,2,"",11.5,135.775,137.47,28,5.499,111.017,113.024,24,5.948,99.256,100.605,26,54722,3,4,5,5,5,4,4,4,4,2,1,5,1,4,5,5,5,5,5,5,1,4,3,5,4,4,4,4,4,2,3,2,4,2,4,4,3,1,1,5,4,5,5,4,4,4,4,3,4,4,4,2,1,2,1,4,3,3,4,3,3,4
"103","2/27/18 11:51","2/27/18 11:57",0,"146.7.4.87",100,395,1,"2/27/18 11:57","R_2cCxesoTojcsthN",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,1.342,6.114,7,5,"",0.661,137.395,138.244,67,2.573,126.135,127.523,56,2.592,115.483,117.115,48,54656,5,4,4,4,5,5,4,4,4,3,5,5,3,2,4,4,5,5,5,4,1,5,5,5,3,4,4,1,3,3,3,5,4,4,5,4,3,5,3,5,4,3,5,3,3,2,3,3,3,4,3,4,5,4,4,3,3,4,5,4,2,4
"104","2/27/18 12:14","2/27/18 12:21",0,"146.7.79.57",100,440,1,"2/27/18 12:21","R_3nVQyUwkOEOi7K8",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,7.513,7.513,9.587,1,"",4.728,82.144,84.117,22,15.944,101.632,102.958,21,3.649,236.473,239.287,22,54672,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,1,3,4,4,4,3,4,2,1,4,3,3,4,3,3,3,3,1,2,5,4,4,4,3,4,3,2,3,3,3,3,2,3,4,3,4,3,5,4,3,2,2
"105","2/27/18 12:19","2/27/18 12:24",0,"146.7.4.91",100,325,1,"2/27/18 12:24","R_2Y5h5XSeMeEZxoY",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,3.964,3.964,8.239,1,"",13.087,98.25,100.032,21,5.43,119.505,120.927,24,12.476,90.486,91.845,23,54706,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,5,4,4,4,3,3,4,2,3,4,3,2,4,3,3,4,3,3,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,1
"106","2/27/18 12:17","2/27/18 12:25",0,"107.77.209.181",100,467,1,"2/27/18 12:25","R_73DafbMRni2miI1",NA,NA,NA,NA,41.8500061,-87.65000153,"anonymous","EN",1,7.459,12.79,13.648,8,"",25.465,142.524,143.458,63,1.257,166.233,167.82,56,1.811,129.221,134.187,70,55289,5,3,5,5,4,5,4,5,5,2,4,5,4,3,5,5,5,4,5,5,1,5,5,5,2,1,5,1,1,5,2,1,5,5,2,5,1,3,1,5,2,5,5,5,5,5,2,3,3,5,5,2,1,3,2,5,3,5,3,5,5,5
"107","2/27/18 12:47","2/27/18 12:53",0,"146.7.4.84",100,357,1,"2/27/18 12:53","R_574EfHUsXbpTLCV",NA,NA,NA,NA,37.21530151,-93.29820251,"anonymous","EN",1,78.79,78.79,82.733,1,"",10.056,100.124,102.822,26,9.679,79.617,80.855,24,6.164,86.332,86.942,29,54718,5,4,4,4,5,4,5,4,4,2,4,3,3,3,4,4,4,3,5,4,2,4,4,4,4,4,4,2,4,4,3,2,4,4,3,4,2,3,2,3,4,3,2,4,4,3,3,2,4,3,3,4,2,4,4,4,3,4,4,4,3,2
"108","2/27/18 12:46","2/27/18 12:55",0,"107.138.189.129",100,531,1,"2/27/18 12:55","R_2t9hagpWb98UrkU",NA,NA,NA,NA,37.29989624,-93.30840302,"anonymous","EN",1,8.467,8.467,17.399,1,"",7.265,170.202,172.899,27,12.964,169.687,173.577,22,13.894,160.416,162.858,24,55687,5,4,5,4,5,4,5,5,5,4,4,3,3,4,4,4,4,3,5,4,1,5,2,5,5,4,5,4,2,5,4,2,5,5,4,5,3,3,2,4,5,4,4,3,5,3,3,5,5,5,5,4,1,4,2,5,3,4,4,4,3,5
"109","2/27/18 12:58","2/27/18 13:05",0,"174.234.131.28",100,421,1,"2/27/18 13:05","R_3sn7SuG2LfjiqJe",NA,NA,NA,NA,37.21899414,-93.31759644,"anonymous","EN",1,20.79,20.79,29.356,1,"",3.647,129.128,131.364,22,9.002,117.026,119.069,22,6.601,133.538,135.048,21,55754,3,4,4,5,4,3,4,3,3,3,4,4,2,2,3,3,3,4,2,4,1,3,4,4,3,4,4,2,2,4,4,4,4,3,5,4,3,3,2,5,4,2,2,5,5,4,3,3,3,4,4,4,2,3,3,4,3,3,5,3,2,3
